"run_id","classifier","cone_projection","xzero_prediction","source_class","source_class_name","target_class","target_class_name","target_class_conf_std","target_class_conf_mean","original_class_conf_std","original_class_conf_mean","fid","target_class_validity","original_class_validity","lp_norm_1","lp_norm_1_5","lp_norm_2","lpips","oracle_MNR-RN50","oracle_tcv_MNR-RN50","oracle_AlexNet (pretrained)","oracle_tcv_AlexNet (pretrained)","oracle_AlexNet (random init)","oracle_tcv_AlexNet (random init)","oracle_UnetEncoder","oracle_tcv_UnetEncoder","oracle_ConvNeXt-L","oracle_tcv_ConvNeXt-L","oracle_SIMCLR","oracle_tcv_SIMCLR","oracle_SwinTFL","oracle_tcv_SwinTFL"
"run_cheetah(293)_to_leopard(288)","UnetEncoderClassifier","false","false","293","cheetah","288","leopard","0.1779152899980545","0.9533984065055847","0.15000365674495697","0.03340732306241989","0.9121100306510925","0.9599999785423279","0.03999999910593033","1476762.5","8629.9248046875","707.9163208007812","0.26577502489089966","0.019999999552965164","0","0.29999998211860657","0.2800000011920929","0","0","1","0.9599999785423279","0.25999999046325684","0.2199999988079071","0","0","0.3199999928474426","0.2800000011920929"
"run_cheetah(293)_to_tiger(292)","UnetEncoderClassifier","false","false","293","cheetah","292","tiger","0.1195511743426323","0.9640651345252991","0.06541962176561356","0.015450694598257542","0.8479869365692139","1","0","1485920.75","8690.8369140625","713.1109008789062","0.2786393463611603","0","0","0.019999999552965164","0.019999999552965164","0","0","1","1","0.05999999865889549","0.05999999865889549","0","0","0.019999999552965164","0.019999999552965164"
"run_cheetah(293)_to_golden-retriever(207)","UnetEncoderClassifier","false","false","293","cheetah","207","golden retriever","0.27149105072021484","0.8848839998245239","0.21368227899074554","0.07094794511795044","0.7490304112434387","0.8999999761581421","0.07999999821186066","1506195.5","8790.6767578125","719.8672485351562","0.28719562292099","0.03999999910593033","0","0.03999999910593033","0","0","0","1","0.8999999761581421","0.05999999865889549","0","0","0","0.11999999731779099","0.019999999552965164"
"run_cheetah(293)_to_Labrador-retriever(208)","UnetEncoderClassifier","false","false","293","cheetah","208","Labrador retriever","0.347169429063797","0.7698768973350525","0.2268775999546051","0.10755348205566406","0.8257774710655212","0.8399999737739563","0.11999999731779099","1493266.25","8719.181640625","714.268310546875","0.2809899151325226","0.019999999552965164","0","0.03999999910593033","0","0","0","1","0.8399999737739563","0.09999999403953552","0","0","0","0.11999999731779099","0"
"run_cheetah(293)_to_guacamole(924)","UnetEncoderClassifier","false","false","293","cheetah","924","guacamole","0.4278572201728821","0.6307663321495056","0.2891380190849304","0.15038539469242096","0.7960506081581116","0.6800000071525574","0.2199999988079071","1496422.25","8731.1171875","714.8029174804688","0.29431313276290894","0.11999999731779099","0","0.14000000059604645","0","0","0","1","0.6800000071525574","0.2199999988079071","0.019999999552965164","0","0","0.2199999988079071","0.019999999552965164"
"run_cheetah(293)_to_carbonara(959)","UnetEncoderClassifier","false","false","293","cheetah","959","carbonara","0.38198739290237427","0.7245475053787231","0.2199719399213791","0.09862472116947174","0.8651065230369568","0.7999999523162842","0.1599999964237213","1496851","8746.4580078125","717.0701293945312","0.29177021980285645","0.07999999821186066","0","0.05999999865889549","0","0","0","1","0.7999999523162842","0.1599999964237213","0","0","0","0.17999999225139618","0"
"run_cheetah(293)_to_alp(970)","UnetEncoderClassifier","false","false","293","cheetah","970","alp","0.4368356764316559","0.41050249338150024","0.28367990255355835","0.18694989383220673","0.808953046798706","0.4399999976158142","0.29999998211860657","1500317.375","8754.5751953125","716.8624267578125","0.2961629331111908","0.17999999225139618","0","0.17999999225139618","0","0","0","1","0.4399999976158142","0.3400000035762787","0","0","0","0.3400000035762787","0"
"run_cheetah(293)_to_cliff(972)","UnetEncoderClassifier","false","false","293","cheetah","972","cliff","0.4294222593307495","0.564357578754425","0.2719710171222687","0.1548081785440445","0.8132153153419495","0.6200000047683716","0.23999999463558197","1499633.25","8764.546875","718.5764770507812","0.2966599762439728","0.14000000059604645","0.019999999552965164","0.14000000059604645","0","0","0","1","0.6200000047683716","0.2199999988079071","0.019999999552965164","0","0","0.23999999463558197","0.019999999552965164"
"run_cheetah(293)_to_volcano(980)","UnetEncoderClassifier","false","false","293","cheetah","980","volcano","0.3987540006637573","0.716286301612854","0.26810112595558167","0.12518547475337982","0.7861008048057556","0.7599999904632568","0.1599999964237213","1515723.5","8843.9111328125","724.2140502929688","0.3010352849960327","0.07999999821186066","0","0.09999999403953552","0","0","0","1","0.7599999904632568","0.1599999964237213","0.019999999552965164","0","0","0.1599999964237213","0.019999999552965164"
"run_cheetah(293)_to_pizza(963)","UnetEncoderClassifier","false","false","293","cheetah","963","pizza","0.4098696708679199","0.6447513103485107","0.3043403923511505","0.17077195644378662","0.8562644124031067","0.7199999690055847","0.19999998807907104","1500604","8760.08203125","717.601318359375","0.30163413286209106","0.11999999731779099","0","0.11999999731779099","0","0","0","1","0.7199999690055847","0.2199999988079071","0","0","0","0.2199999988079071","0"
